щКЕЛЕМЕР; нАЫЕЕ ЙНКХВЕЯРБН; нАЫХИ ОПНЖЕМР; бЕЯ ЙНЩТТХЖХЕМРЮ 
E:/пхянбюмхе WPAP Х ART/цемепюрхб_SUPREM/rrr/пхясмйх/4/Ice cream.png;144;5.71429;109.951
E:/пхянбюмхе WPAP Х ART/цемепюрхб_SUPREM/rrr/пхясмйх/4/Katana.png;54;2.14286;1844.67
E:/пхянбюмхе WPAP Х ART/цемепюрхб_SUPREM/rrr/пхясмйх/4/Klingon.png;137;5.43651;68.7195
E:/пхянбюмхе WPAP Х ART/цемепюрхб_SUPREM/rrr/пхясмйх/4/Kloun.png;102;4.04762;281.475
E:/пхянбюмхе WPAP Х ART/цемепюрхб_SUPREM/rrr/пхясмйх/4/Memglasses.png;44;1.74603;2951.48
E:/пхянбюмхе WPAP Х ART/цемепюрхб_SUPREM/rrr/пхясмйх/4/Pirat.png;52;2.06349;4722.37
E:/пхянбюмхе WPAP Х ART/цемепюрхб_SUPREM/rrr/пхясмйх/4/Puaro.png;147;5.83333;26.8435
E:/пхянбюмхе WPAP Х ART/цемепюрхб_SUPREM/rrr/пхясмйх/4/Richard.png;233;9.24603;2.56
E:/пхянбюмхе WPAP Х ART/цемепюрхб_SUPREM/rrr/пхясмйх/4/Sailor.png;70;2.77778;720.576
E:/пхянбюмхе WPAP Х ART/цемепюрхб_SUPREM/rrr/пхясмйх/4/Sparrow.png;163;6.46825;42.9497
E:/пхянбюмхе WPAP Х ART/цемепюрхб_SUPREM/rrr/пхясмйх/4/Sportglasses.png;221;8.76984;4.096
E:/пхянбюмхе WPAP Х ART/цемепюрхб_SUPREM/rrr/пхясмйх/4/Stalin.png;30;1.19048;7555.79
E:/пхянбюмхе WPAP Х ART/цемепюрхб_SUPREM/rrr/пхясмйх/4/Sunglasses.png;204;8.09524;10.4858
E:/пхянбюмхе WPAP Х ART/цемепюрхб_SUPREM/rrr/пхясмйх/4/Voin.png;87;3.45238;450.36
E:/пхянбюмхе WPAP Х ART/цемепюрхб_SUPREM/rrr/пхясмйх/4/Vozhd'.png;91;3.61111;1152.92
